Header:
MFRSR SPECTRAL RESPONSE TEST:

Instrument Data:
Serial_number	Vis469
Instrument_rev	Yes_Mk1
Owner	DOE-ARM

Test_Conditions_Data:
Testing_agency	DOE-ARM_SRMS
Test_System_rev	D
Test_date	5/25/2016
Test_day	146	[Day_of_year]
Test_conductor	Craig Webb
Source_Type	175 watt Xenon_ARC
Monochromator_slit	85	microns
Wavelength_registration_line	361.1652	[nm]
Wavelength_registration_position	431533	[steps]

Comment:	From Japan/Mike Reynolds

Channel	Wavelength	Signal	
900	481.25	-3.873587E-05	5.822585E-06
900	481.5	-3.160396E-05	4.89386E-06
900	481.75	-4.679956E-05	4.774324E-06
900	482	-4.045611E-05	5.143737E-06
900	482.25	-4.153127E-05	3.462944E-06
900	482.5	-3.791155E-05	3.765222E-06
900	482.75	-4.533015E-05	4.20731E-06
900	483	-4.167461E-05	3.213757E-06
900	483.25	-3.554618E-05	4.502981E-06
900	483.5	-4.758798E-05	4.997063E-06
900	483.75	-3.79832E-05	4.332444E-06
900	484	-4.02052E-05	3.642559E-06
900	484.25	-4.568851E-05	5.928683E-06
900	484.5	-4.246303E-05	3.857315E-06
900	484.75	-4.081444E-05	6.20685E-06
900	485	-3.730226E-05	4.120077E-06
900	485.25	-4.593936E-05	4.01931E-06
900	485.5	-3.687218E-05	4.575104E-06
900	485.75	-4.608269E-05	3.934603E-06
900	486	-4.85914E-05	2.868832E-06
900	486.25	-4.38607E-05	3.958037E-06
900	486.5	-4.024099E-05	4.067943E-06
900	486.75	-3.740973E-05	2.884656E-06
900	487	-4.461329E-05	6.395796E-06
900	487.25	-5.48273E-05	4.634157E-06
900	487.5	-3.343164E-05	4.608881E-06
900	487.75	-4.2678E-05	3.607812E-06
900	488	-5.432553E-05	3.052926E-06
900	488.25	-3.991841E-05	3.157708E-06
900	488.5	-4.274966E-05	3.758347E-06
900	488.75	-4.647686E-05	4.403563E-06
900	489	-4.522252E-05	4.175397E-06
900	489.25	-3.801896E-05	2.79944E-06
900	489.5	-4.486412E-05	6.068832E-06
900	489.75	-4.497163E-05	3.83828E-06
900	490	-4.002591E-05	2.939808E-06
900	490.25	-4.998902E-05	5.576492E-06
900	490.5	-4.550919E-05	3.471391E-06
900	490.75	-5.03474E-05	5.815992E-06
900	491	-5.038322E-05	4.448314E-06
900	491.25	-4.231955E-05	5.18935E-06
900	491.5	-4.991731E-05	4.090203E-06
900	491.75	-3.776804E-05	4.526343E-06
900	492	-3.912991E-05	3.581207E-06
900	492.25	-3.927325E-05	6.060177E-06
900	492.5	-4.787451E-05	5.095871E-06
900	492.75	-3.554605E-05	2.857336E-06
900	493	-3.439921E-05	6.12929E-06
900	493.25	-4.160276E-05	5.547802E-06
900	493.5	-4.464903E-05	4.540806E-06
900	493.75	-3.289398E-05	5.012986E-06
900	494	-4.095765E-05	4.195117E-06
900	494.25	-3.278647E-05	4.452851E-06
900	494.5	-3.95958E-05	5.204218E-06
900	494.75	-4.826873E-05	5.25776E-06
900	495	-3.081534E-05	4.966136E-06
900	495.25	-4.744443E-05	5.786195E-06
900	495.5	-4.43623E-05	4.906812E-06
900	495.75	-3.36466E-05	4.960429E-06
900	496	-4.006169E-05	4.468271E-06
900	496.25	-4.977394E-05	5.244809E-06
900	496.5	-4.278542E-05	5.542992E-06
900	496.75	-4.787449E-05	6.49566E-06
900	497	-3.619113E-05	5.231501E-06
900	497.25	-4.597504E-05	3.441122E-06
900	497.5	-3.726629E-05	4.617829E-06
900	497.75	-4.651263E-05	5.641583E-06
900	498	-4.396809E-05	5.847689E-06
900	498.25	-3.482926E-05	3.944954E-06
900	498.5	-4.214032E-05	4.041235E-06
900	498.75	-3.683623E-05	4.017293E-06
900	499	-4.292878E-05	5.437311E-06
900	499.25	-4.611841E-05	5.721161E-06
900	499.5	-4.085014E-05	4.173118E-06
900	499.75	-4.70502E-05	4.775021E-06
900	500	-4.210449E-05	4.287414E-06
900	500.25	-4.403978E-05	6.065322E-06
900	500.5	-3.751716E-05	2.821475E-06
900	500.75	-4.970225E-05	4.492287E-06
900	501	-3.841312E-05	4.929171E-06
900	501.25	-4.217615E-05	6.20945E-06
900	501.5	-4.86271E-05	6.143103E-06
900	501.75	-5.221094E-05	5.013653E-06
900	502	-4.923635E-05	2.884674E-06
900	502.25	-5.231846E-05	4.716835E-06
900	502.5	-4.694268E-05	4.069248E-06
900	502.75	-4.690684E-05	5.586802E-06
900	503	-4.636925E-05	5.29113E-06
900	503.25	-4.927218E-05	5.251879E-06
900	503.5	-4.44698E-05	4.299942E-06
900	503.75	-4.317961E-05	6.140449E-06
900	504	-3.984664E-05	5.454435E-06
900	504.25	-3.052863E-05	4.434767E-06
900	504.5	-3.766048E-05	5.669627E-06
900	504.75	-4.031253E-05	4.118641E-06
900	505	-3.35032E-05	6.248013E-06
900	505.25	-4.22478E-05	4.269047E-06
900	505.5	-4.077843E-05	4.218826E-06
900	505.75	-5.249762E-05	4.122554E-06
900	506	-4.260618E-05	4.742057E-06
900	506.25	-4.701432E-05	4.729763E-06
900	506.5	-4.224779E-05	4.717708E-06
900	506.75	-4.217611E-05	2.952009E-06
900	507	-4.973803E-05	3.437654E-06
900	507.25	-4.271369E-05	3.460886E-06
900	507.5	-4.414722E-05	4.938681E-06
900	507.75	-4.031249E-05	3.046998E-06
900	508	-3.816219E-05	3.805637E-06
900	508.25	-4.439808E-05	3.376667E-06
900	508.5	-4.178186E-05	6.21739E-06
900	508.75	-3.766045E-05	3.981694E-06
900	509	-4.178187E-05	3.747841E-06
900	509.25	-4.102925E-05	3.817803E-06
900	509.5	-3.80905E-05	3.889003E-06
900	509.75	-3.594018E-05	8.11112E-06
900	510	-4.16385E-05	5.696715E-06
900	510.25	-4.221192E-05	4.417108E-06
900	510.5	-3.733789E-05	4.458544E-06
900	510.75	-5.289176E-05	5.640483E-06
900	511	-4.020495E-05	4.589516E-06
